@relation phishing_urls

@attribute urlLength NUMERIC
@attribute numSuspiciousChars NUMERIC
@attribute numLexicalKeywords NUMERIC
@attribute hasSuspiciousIframes NUMERIC
@attribute externalLinkRatio NUMERIC
@attribute hasFakeLoginForm NUMERIC
@attribute class {benign,phishing}

@data
% ========================
% BENIGN instances (300)
% ========================
15,0,0,0,0.05,0,benign
18,0,0,0,0.10,0,benign
22,0,0,0,0.08,0,benign
12,0,0,0,0.12,0,benign
20,0,0,0,0.15,0,benign
25,0,0,0,0.20,0,benign
30,0,0,0,0.18,0,benign
28,0,0,0,0.22,0,benign
14,0,0,0,0.07,0,benign
17,0,0,0,0.09,0,benign
19,0,0,0,0.11,0,benign
24,0,0,0,0.14,0,benign
27,0,0,0,0.17,0,benign
31,0,0,0,0.21,0,benign
16,0,0,0,0.06,0,benign
23,0,0,0,0.13,0,benign
26,0,0,0,0.19,0,benign
29,0,0,0,0.23,0,benign
33,0,0,0,0.25,0,benign
10,0,0,0,0.04,0,benign
35,0,0,0,0.28,0,benign
21,0,0,0,0.16,0,benign
13,0,0,0,0.03,0,benign
32,0,0,0,0.26,0,benign
11,0,0,0,0.02,0,benign
34,0,0,0,0.27,0,benign
36,0,0,0,0.29,0,benign
37,0,0,0,0.30,0,benign
15,0,0,0,0.10,0,benign
20,0,0,0,0.05,0,benign
22,0,0,0,0.12,0,benign
18,0,0,0,0.08,0,benign
25,0,0,0,0.20,0,benign
28,0,0,0,0.17,0,benign
30,0,0,0,0.22,0,benign
14,0,0,0,0.09,0,benign
17,0,0,0,0.11,0,benign
23,0,0,0,0.13,0,benign
19,0,0,0,0.14,0,benign
26,0,0,0,0.18,0,benign
31,0,0,0,0.24,0,benign
16,0,0,0,0.06,0,benign
29,0,0,0,0.21,0,benign
27,0,0,0,0.16,0,benign
33,0,0,0,0.25,0,benign
24,0,0,0,0.15,0,benign
12,0,0,0,0.07,0,benign
21,0,0,0,0.19,0,benign
10,0,0,0,0.03,0,benign
35,0,0,0,0.30,0,benign
38,0,0,0,0.31,0,benign
40,0,0,0,0.33,0,benign
42,0,0,0,0.35,0,benign
39,0,0,0,0.32,0,benign
41,0,0,0,0.34,0,benign
43,0,0,0,0.36,0,benign
44,0,0,0,0.37,0,benign
45,0,0,0,0.38,0,benign
46,0,0,0,0.39,0,benign
47,0,0,0,0.40,0,benign
48,0,0,0,0.41,0,benign
49,0,0,0,0.42,0,benign
50,0,0,0,0.43,0,benign
51,0,0,0,0.44,0,benign
52,0,0,0,0.45,0,benign
15,0,0,0,0.33,0,benign
22,0,0,0,0.28,0,benign
20,0,0,0,0.35,0,benign
18,0,0,0,0.40,0,benign
25,0,0,0,0.38,0,benign
30,0,0,0,0.30,0,benign
28,0,0,0,0.25,0,benign
14,0,0,0,0.42,0,benign
17,0,0,0,0.45,0,benign
23,0,0,0,0.37,0,benign
19,0,0,0,0.32,0,benign
26,0,0,0,0.43,0,benign
31,0,0,0,0.44,0,benign
16,0,0,0,0.36,0,benign
29,0,0,0,0.41,0,benign
27,0,0,0,0.39,0,benign
33,0,0,0,0.27,0,benign
24,0,0,0,0.26,0,benign
12,0,0,0,0.31,0,benign
21,0,0,0,0.29,0,benign
10,0,0,0,0.34,0,benign
35,0,0,0,0.44,0,benign
38,0,0,0,0.42,0,benign
40,0,0,0,0.40,0,benign
42,0,0,0,0.39,0,benign
39,0,0,0,0.36,0,benign
41,0,0,0,0.37,0,benign
43,0,0,0,0.38,0,benign
44,0,0,0,0.41,0,benign
45,0,0,0,0.43,0,benign
46,0,0,0,0.45,0,benign
47,0,0,0,0.44,0,benign
48,0,0,0,0.43,0,benign
49,0,0,0,0.42,0,benign
50,0,0,0,0.41,0,benign
51,0,0,0,0.40,0,benign
52,0,0,0,0.39,0,benign
53,0,0,0,0.38,0,benign
54,0,0,0,0.37,0,benign
55,0,0,0,0.36,0,benign
56,0,0,0,0.35,0,benign
57,0,0,0,0.34,0,benign
58,0,0,0,0.33,0,benign
59,0,0,0,0.32,0,benign
60,0,0,0,0.31,0,benign
15,1,0,0,0.05,0,benign
20,1,0,0,0.10,0,benign
22,1,0,0,0.08,0,benign
18,1,0,0,0.12,0,benign
25,1,0,0,0.15,0,benign
30,1,0,0,0.18,0,benign
28,1,0,0,0.22,0,benign
14,1,0,0,0.07,0,benign
17,1,0,0,0.09,0,benign
23,1,0,0,0.13,0,benign
19,1,0,0,0.11,0,benign
26,1,0,0,0.14,0,benign
31,1,0,0,0.21,0,benign
16,1,0,0,0.06,0,benign
29,1,0,0,0.23,0,benign
27,1,0,0,0.17,0,benign
33,1,0,0,0.25,0,benign
24,1,0,0,0.15,0,benign
12,1,0,0,0.07,0,benign
21,1,0,0,0.19,0,benign
30,0,1,0,0.20,0,benign
35,0,1,0,0.25,0,benign
28,0,1,0,0.18,0,benign
22,0,1,0,0.14,0,benign
40,0,1,0,0.30,0,benign
45,0,1,0,0.35,0,benign
38,0,1,0,0.28,0,benign
33,0,1,0,0.22,0,benign
25,0,1,0,0.15,0,benign
27,0,1,0,0.17,0,benign
32,0,1,0,0.21,0,benign
37,0,1,0,0.26,0,benign
42,0,1,0,0.32,0,benign
47,0,1,0,0.38,0,benign
52,0,1,0,0.43,0,benign
56,0,1,0,0.44,0,benign
15,0,0,0,0.12,0,benign
20,0,0,0,0.18,0,benign
18,0,0,0,0.21,0,benign
